,issue_area,question,submission_date,submitter_location,submitters,vote_count,question_
6871,Government & Elections,What obligations does every American owe to her country?,2016-10-02 17:07:00,DC,Kathleen K.,16,"obligation every_american owe country
"
6872,Health,Do you feel life begins at conception or at birth and why?  ,2016-10-01 10:42:00,SD,Diana  P.,16,"feel life_begin at_conception birth
"
6873,Society & Community,How can America be both united and diverse? Does unity mean uniformity?,2016-09-28 13:51:00,PA,Skip M.,16,"america unite diverse unity mean uniformity
"
6874,Government & Elections,Do you think Bush was behind 9/11?,2016-09-30 14:09:00,CO,Luke S.,16,"think bush 9/11
"
6875,Infrastructure & Technology,How would you specifically enhance cyber-security beyond current policies?,2016-10-03 17:16:00,NJ,Michael G.,16,"specifically enhance cyber_security current policy
"
6876,Civil Rights,When does a human life begin?,2016-09-28 12:01:00,FL,Matt P.,16,"human_life begin
"
6877,Government & Elections,Would you support a State Convention to restore our original small government?,2016-09-30 09:31:00,PA,Diane P.,16,"support state convention restore original small government
"
6878,Infrastructure & Technology,Do you believe there is intelligent life in the universe?,2016-09-27 17:29:00,CO,Sane P.,16,"believe intelligent life universe
"
6879,Foreign Policy & Military,How do you intend to deal with Syria?,2016-10-05 18:05:00,None,John M.,16,"intend deal_with syria
"
6880,Economy & Jobs,How will you create jobs?,2016-10-02 20:15:00,VA,Lindsay K.,16,"create_job
"
6881,Taxes & Budget,What will you do about repealing the Federal Reserve Act of 1913 .,2016-10-01 23:24:00,IL,steve k.,16,"repeal federal_reserve act 1913
"
6882,Government & Elections,Do you think the politics of personal destruction have hurt America?,2016-09-28 12:25:00,OR,Sheryl S.,16,"think politics personal destruction hurt america
"
6883,Foreign Policy & Military,Should we change the name of the Defense Department back to the War Department?,2016-09-30 00:38:00,FL,Norman B.,16,"should_we change defense department war department
"
6884,Government & Elections,"If elected, will candidates donate presidential income to charity?",2016-10-05 09:00:00,TX,Margaret L.,16,"if_elect candidate donate presidential income charity
"
6885,Government & Elections,Describe a specific time when you reached a compromise you're proud of.,2016-10-06 13:51:00,MA,Sarah B.,16,"specific time_when reach compromise 're proud
"
6886,Foreign Policy & Military,How will you deport criminal illegals and prevent them from re-entering the USA,2016-10-08 13:32:00,AZ,Maria K.,16,"deport criminal illegals prevent enter usa
"
6887,Government & Elections,Do you support allowing Jill Stein to participate in the final debate?,2016-10-08 05:33:00,TX,Amber S.,16,"support allow jill_stein participate_in final debate
"
6888,Environment,Are you going take steps to reduce meat consumption by consumers?,2016-10-07 20:46:00,NY,Kevin S.,16,"step reduce meat consumption consumer
"
6889,Health,Will you visit Sri Satya Sai Baba Ashram to study free health/education system?,2016-10-07 20:42:00,GA,Pardha Saradhi U.,16,"visit sri satya sai baba ashram study free health/education
"
6890,Health,"How does the next president plan on fixing the ""craziest thing ever"" ObamaCare? ",2016-10-07 18:52:00,MO,Robby  B.,16,"next_president plan fix crazy thing obamacare
"
6891,Government & Elections,Should lawyers and IT people be granted immunity when destroying evidence?,2016-10-07 16:06:00,IA,Darren H.,16,"lawyer people grant immunity destroy_evidence
"
6892,Infrastructure & Technology,How would you ensure our classified secrets are handled properly?,2016-10-07 15:05:00,PA,Joshua B.,16,"ensure classified secret handle properly
"
6893,Environment,What are you going to do to help the coasts and ocean? How will you fix it?,2016-10-07 14:48:00,OH,Haley B.,16,"help coast ocean fix_it
"
6894,Government & Elections,Would you support the death penalty for  criminals who kill police officers?,2016-10-07 14:30:00,NC,Sean M.,16,"support death_penalty criminal kill police_officer
"
6895,Society & Community,What will be your actions to ensure that all qualified Americans can Open Carry?,2016-10-07 14:15:00,None,David B.,16,"action ensure_that qualified americans open carry
"
6896,Government & Elections,Will you agree to receive a full physical and have the results disclosed?,2016-10-07 13:13:00,CO,Uwe H.,16,"agree receive physical result disclose
"
6897,Health,What will you do to continue the Social Security system for the coming decades?,2016-10-07 12:51:00,OR,Richard R.,16,"continue social_security come decade
"
6898,Economy & Jobs,"How will you to get money out of politics, why should we believe you?",2016-10-07 12:26:00,TX,Andrew N.,16,"get_money_out_of politics should_we believe
"
6899,Economy & Jobs,Please describe in more detail your effort to simplify the tax code?  ,2016-10-07 12:08:00,NY,Sunil M.,16,"please_describe effort simplify tax_code
"
6900,Government & Elections,How will you address the growing problem of political polarization in the US?,2016-10-07 11:18:00,PA,Daniel B.,16,"address grow problem political_polarization
"
6901,Health,What will you do about rural healthcare?,2016-10-07 11:19:00,SD,Dee S.,16,"rural healthcare
"
6902,Society & Community,Do you support LGBT organization?,2016-10-07 10:45:00,IL,Viana S.,16,"support lgbt organization
"
6903,Health,Seven American kids die from pediatric cancer each day. How will you help them?,2016-10-07 08:31:00,VA,Debra J.,16,"seven american kid die pediatric cancer day help
"
6904,Economy & Jobs,What specific plan do you have to fix income inequality,2016-10-07 05:14:00,CA,Evan F.,16,"specific_plan fix income_inequality
"
6905,Foreign Policy & Military,What is your position on US military spending?,2016-10-07 03:05:00,AK,Joseph T.,16,"your_position_on military_spending
"
6906,Government & Elections,Should the two-party system be changed in order to represent more Americans?,2016-10-07 01:58:00,UT,Janelle J.,16,"two_party_system change in_order represent americans
"
6907,Government & Elections,Election reform,2016-10-07 00:22:00,PA,Cole  W.,16,"election reform
"
6908,Foreign Policy & Military,How can we reduce unnecessary military expenditure? ,2016-10-06 23:49:00,MA,Linda A.,16,"how_can_we reduce unnecessary military expenditure
"
6909,Government & Elections,"How will you get money out of politics, given how it's benefitted you?",2016-10-06 23:37:00,KY,Kaitlin S.,16,"get_money_out_of politics it_' benefit
"
6910,Government & Elections,Do you pledge to eliminate private campaign contributions from elections?,2016-10-06 23:03:00,MD,Kyle J.,16,"pledge eliminate private campaign_contribution election
"
6911,Foreign Policy & Military,Would you consider an income/property tax exemption for military veterans?,2016-10-06 22:50:00,IL,Timothy M.,16,"consider income/property tax exemption military veteran
"
6912,Foreign Policy & Military,Will military spending remain as is?,2016-10-06 22:40:00,GA,Jamal S.,16,"military_spending remain
"
6913,Government & Elections,Without commenting on your opponent what would you do to reduce partisan rancor?,2016-10-06 20:54:00,MA,Bill M.,16,"comment your_opponent reduce partisan rancor
"
6914,Foreign Policy & Military,What current world leader do you admire the most?,2016-10-06 20:51:00,NJ,Jen B.,16,"current world_leader admire
"
6915,Health,Do you support proposed FDA regulations on electronic cigarettes?,2016-10-06 20:06:00,IN,Damon B.,16,"support proposed fda regulation electronic cigarette
"
6916,Environment,How will you address the serious threat of anthropogenic climate change?,2016-10-06 19:39:00,None,Jon K.,16,"address threat anthropogenic climate_change
"
6917,Economy & Jobs,I work in Banking IT. My company is sending jobs overseas. Security Concerns?,2016-10-06 19:08:00,GA,Theresa G.,16,"work banking it. company send job overseas security concern
"
6918,Government & Elections,Would you ensure 3rd party candidate participation in debates?,2016-10-06 18:12:00,NY,S H.,16,"ensure 3rd_party_candidate participation debate
"
6919,Foreign Policy & Military,How would you repair struggling relations with Philippines?,2016-10-06 18:06:00,TX,Dylan D.,16,"repair struggle relation_with philippines
"
6920,Society & Community,Can you attempt to explain how long established ways of governing are changed?,2016-10-06 16:16:00,NY,Norrine H.,16,"attempt explain long established way governing change
"
6921,Government & Elections,Will you end Electronic Voting & restore verifiable paper trail to ALL elections,2016-10-06 14:59:00,TX,Chris W.,16,"end electronic voting restore verifiable paper trail election
"
6922,Taxes & Budget,What would you do to limit federal spending?,2016-10-06 11:40:00,MI,Bob  C.,16,"limit federal_spending
"
6923,Government & Elections,What specific policies would you propose to respond to climate change?,2016-10-06 10:20:00,OR,Brooke H.,16,"specific policy propose respond climate_change
"
6924,Government & Elections,Do you think politicians are above the law?,2016-10-06 09:30:00,CA,Jim W.,16,"think politician law
"
6925,Foreign Policy & Military,Is Paying money to other countries more important?,2016-10-05 21:04:00,TX,dhanesh b.,16,"pay money other_country more_important
"
6926,Society & Community,Why should the many combat veterans who deploy 3 or more times not receive VA ,2016-10-06 00:36:00,CA,Marcy C.,16,"combat veteran deploy 3 time receive va
"
6927,Health,How will you improve the Veterans Administration system?,2016-10-06 00:20:00,CA,Blas V.,16,"improve veterans administration
"
6928,Foreign Policy & Military,Which countries border Syria? ,2016-10-05 23:58:00,MD,Dan G.,16,"countries border syria
"
6929,Government & Elections,How do you alleviate fears that you are not suited nor should be President?,2016-10-05 22:04:00,NC,Paul S.,16,"alleviate fear suited president
"
6930,Government & Elections,"The problem w/ this country is congress, not a president, How will you fix this?",2016-10-05 21:41:00,MD,T J.,16,"problem w/ this_country congress president fix
"
6931,Society & Community,With your past experience: ,2016-10-05 19:54:00,HI,Daniel Boom Boom S.,16,"past experience
"
6932,Environment,What is your environmental plan and why is it better than your opponent's?,2016-10-05 14:26:00,MO,Tyler M.,16,"environmental plan it_better_than your_opponent_'s
"
6933,Government & Elections,What will you do to restore integrity to our election process?,2016-10-05 19:00:00,MN,Alecia N.,16,"restore integrity our_election_process
"
6934,Foreign Policy & Military,How many more Americans would you send into the conflict in the Middle East?,2016-10-05 17:51:00,GA,David R.,16,"americans send conflict middle_east
"
6935,Health,Do you have any plans to help autistic children?,2016-10-05 14:51:00,MO,Suzett N.,16,"plan help autistic child
"
6936,Taxes & Budget,"How can anyone support a candidate, if they won't release their tax returns?",2016-10-05 14:22:00,NY,Courtney F.,16,"support candidate if_they wo_not release_their tax_return
"
6937,Government & Elections,Would you support a bill to force all states to cast electoral votes by district,2016-10-05 11:33:00,CA,Gene D.,16,"support force state cast electoral vote district
"
6938,Environment,"What do you plan to do about global warming, do you believe it is happening?",2016-10-05 01:14:00,WY,Raymond H.,16,"plan global_warming believe happen
"
6939,Civil Rights,"Is stop and frisk, properly conducted constitutional or not?",2016-09-28 11:21:00,NC,John R.,17,"stop_and_frisk properly conduct constitutional
"
6940,Foreign Policy & Military,Under what circumstances would it be acceptable to use nuclear weapons ,2016-10-03 18:58:00,MA,Michael S.,17,"circumstance acceptable use_nuclear_weapon
"
6941,Economy & Jobs,What percentage of your employees are currenrly paid less than $15.00 an hour?,2016-10-03 15:48:00,CA,Andrea G.,17,"percentage employee currenrly pay $ 15.00 hour
"
6942,Foreign Policy & Military,Do you believe in using a draft for military service?,2016-10-02 20:40:00,NJ,Julia H.,17,"believe use draft military service
"
6943,Health,What role do your religious beliefs play in regards to your views on abortion?,2016-10-09 16:21:00,TX,Matt G.,17,"role religious_belief play_in regard your_view_on abortion
"
6944,Government & Elections,What is your position on Sharia Law in the United States?,2016-10-08 22:56:00,NY,Lorraine P.,17,"your_position_on sharia_law united_states
"
6945,Society & Community,What is your explicit policy on Hispanic and Muslim immigration?,2016-10-08 13:01:00,NJ,Hafsa K.,17,"explicit policy hispanic muslim immigration
"
6946,Foreign Policy & Military,What will you do to protect America's sovereignty from globalists?,2016-10-08 02:31:00,None,Brian S.,17,"protect america_'s sovereignty globalists
"
6947,Economy & Jobs,Will you repeal the Trans Pacific Partnership (TPP) if it is enacted?,2016-10-07 23:55:00,GA,Derrick B.,17,"repeal trans_pacific_partnership tpp enact
"
6948,Economy & Jobs,What can the government do (or stop doing) to improve economic growth?,2016-10-07 22:09:00,IL,John G.,17,"government stop improve economic_growth
"
6949,Taxes & Budget,What tax loopholes will you abolish under your presidency?,2016-10-07 19:37:00,OH,Colin F.,17,"tax_loophole abolish under_your_presidency
"
6950,Foreign Policy & Military,How will you ensure another Benghazi incident never happens?,2016-10-07 19:47:00,OH,connie r.,17,"ensure benghazi incident happen
"
6951,Government & Elections,"What does ""advice and consent of the Senate"" mean to you?",2016-10-07 18:46:00,VA,Cade S.,17,"advice consent senate mean
"
6952,Health,How would you make sure the mentally ill actually get they help they need?,2016-10-07 18:34:00,TX,Zoe K.,17,"make_sure mentally_ill actually help need
"
6953,Taxes & Budget,"By October 15, will you release your 2015 tax returns?",2016-10-07 17:34:00,CA,Robert A.,17,"october 15 release 2015 tax_return
"
6954,Economy & Jobs,How would you help the hard working poor?,2016-10-07 17:22:00,AZ,REBECCA S.,17,"help hard work poor
"
6955,Government & Elections,Why do you think election fraud is an exceptable method of winning a primary?,2016-10-07 16:12:00,None,Scott H.,17,"think election_fraud exceptable method win primary
"
6956,Civil Rights,Are politician lives more valuable than a citizen lives when guns protect them?,2016-10-07 16:09:00,None,Michael  E.,17,"politician live valuable citizen live gun protect
"
6957,Health,Do you believe every American should have access to healthcare?,2016-10-07 16:03:00,TX,Alex M.,17,"believe every_american access healthcare
"
6958,Government & Elections,"Are those with more money entitled to more ""speech"" in our democracy?",2016-10-07 15:56:00,WA,sharon f.,17,"money entitle speech our_democracy
"
6959,Environment,How can the Republicans keep denying actual science regarding global warming?,2016-10-07 15:45:00,CA,David G.,17,"republicans deny actual science regard global_warming
"
6960,Society & Community,"Would you repeal any of the ""UN-common sense"" gun control laws enacted in CA?",2016-10-07 15:32:00,CA,Hector D.,17,"repeal common sense gun_control_law enact ca
"
6961,Health,"Whether Congress would pass it or not, is single payer healthcare a good idea?",2016-10-07 14:56:00,DC,Dan R.,17,"congress pass single_payer healthcare a_good_idea
"
6962,Health,As president how do you plan to deal with racial profiling and abuse by police.,2016-10-07 13:31:00,IL,Nick H.,17,"as_president plan deal_with racial profiling abuse police
"
6963,Government & Elections,The real answer to 'Citizen's United'?,2016-10-07 13:39:00,IA,Michael W.,17,"real answer citizen 's united
"
6964,Environment,Will you allow communities to disallow Fracking which is contaminating our water,2016-10-07 13:35:00,CA,Jill N.,17,"allow community disallow fracking contaminate water
"
6965,Health,How would you help the nearly 1+ million teens who are homeless? ,2016-10-07 13:33:00,IL,Kat K.,17,"help nearly 1+ million teen homeless
"
6966,Government & Elections,How will you fix congress which is seen as broken by so many of us?,2016-10-07 12:06:00,RI,Cathal B.,17,"fix congress see_as break so_many
"
6967,Government & Elections,What is your plan to get money out of Politics?  ,2016-10-07 11:55:00,None,Joey R.,17,"your_plan get_money_out_of politics
"
6968,Society & Community,Would you focus more on getting rid of illegal immigrants or terrorists? ,2016-10-07 10:37:00,IL,Yuliana C.,17,"focus get_rid_of illegal_immigrant terrorist
"
6969,Civil Rights,Will you support constitutional carry in every state with no ltc?,2016-10-07 02:27:00,NH,Anibal M.,17,"support constitutional carry state ltc
"
6970,Civil Rights,What will each of you do to stop racial injustice and systemic rascism?,2016-10-07 01:45:00,TX,Sam S.,17,"stop racial injustice systemic rascism
"
6971,Economy & Jobs,Could you explain the role of your respective foundation?,2016-10-07 01:22:00,TX,Matthew M.,17,"explain role respective foundation
"
6972,Health,What is your perspective on the rising costs and profits in the health industry?,2016-10-07 00:57:00,CO,Ryan N.,17,"perspective rise_cost profit health industry
"
6973,Civil Rights,How will you ensure ex-convicts are not Americans in name only?,2016-10-06 22:55:00,TX,Anthonio R.,17,"ensure ex convict americans
"
6974,Society & Community,Will you uphold your sworn oath of office & not violate the U.S. Constitution?,2016-10-06 22:55:00,NC,Floyd F.,17,"uphold swear oath office violate u.s. constitution
"
6975,Health,When does life begin in your eyes?,2016-10-06 21:31:00,GA,Roger G.,17,"life_begin eye
"
6976,Society & Community,What will you do to lower crime?,2016-10-06 20:07:00,None,Roger M.,17,"lower crime
"
6977,Taxes & Budget,Your proposal to address the growing national debt and entitlement shortfall?,2016-10-06 19:02:00,CO,George T.,17,"proposal address grow national_debt entitlement shortfall
"
6978,Society & Community,How can pro-abortion (ending lives) and anti-gun (saving liives) views coexist?,2016-10-06 18:03:00,GA,Charles W.,17,"pro abortion end life anti gun save liives view coexist
"
6979,Foreign Policy & Military,What can we learn from our failed post 9/11 war efforts?,2016-10-06 16:52:00,CA,Dawn W.,17,"can_we learn_from fail post 9/11 war effort
"
6980,Government & Elections,What will you do to get our budgetary process back on track?,2016-10-06 14:16:00,TX,Jim C.,17,"budgetary process track
"
6981,Health,Making overall healthcare affordable,2016-10-06 13:47:00,OH,Vikas M.,17,"overall healthcare_affordable
"
6982,Taxes & Budget,Would you repeal Social Security age increase on seniors?  Poverty is a reality.,2016-10-06 13:32:00,CA,Gail C.,17,"repeal social_security age increase senior poverty reality
"
6983,Economy & Jobs,How do you plan to eradicate the national debt?,2016-10-06 18:22:00,NY,Kieran W.,17,"plan eradicate national_debt
"
6984,Taxes & Budget,Are you in favor of a  repeal of FATCA ?,2016-10-06 11:09:00,None,Toby M.,17,"in_favor_of repeal fatca
"
6985,Government & Elections,Why should we believe you won't pick and choose which laws to enforce?,2016-10-06 10:42:00,KS,kevin k.,17,"should_we believe wo_not pick choose law enforce
"
6986,Economy & Jobs,Should loopholes exist that allow 0 payment of future Taxes  for companies?,2016-10-06 06:37:00,PA,Emanuel J.,17,"loophole exist allow 0 payment future tax company
"
6987,Civil Rights,What do you think will happen to unwanted children if forced to carry to term?,2016-10-06 00:13:00,CO,Martha W.,17,"think happen unwanted child force carry term
"
6988,Government & Elections,How do you address rampant sky high pensions and rising government corruption.,2016-10-06 00:03:00,CA,Dave K.,17,"address rampant sky high pension rise government_corruption
"
6989,Civil Rights,What will you do to reduce sexual violence in the military? ,2016-10-05 23:47:00,CA,jan p.,17,"reduce sexual_violence military
"
6990,Health,What is your stance on vaccinations? ,2016-10-05 23:13:00,AL,Susan S.,17,"your_stance_on vaccination
"
6991,Civil Rights,Do you agree that women should alone decide abortion rights and men silent?,2016-10-05 22:59:00,NC,Theo W.,17,"agree_that woman decide abortion right man silent
"
6992,Health,How would you keep the previously uninsurable insured. ,2016-10-05 22:34:00,FL,Robert J.,17,"previously uninsurable insure
"
6993,Economy & Jobs,What is the federal government's role in job creation?,2016-10-05 21:42:00,CO,Ross K.,17,"federal_government 's role job_creation
"
6994,Health,What will you do to stop unfair profiteering associated with healthcare?,2016-10-05 17:47:00,CA,Marc I.,17,"stop unfair profiteering associate healthcare
"
6995,Health,How would you respond to attempts by states to thwart a woman's right to choose?,2016-10-05 15:19:00,TX,Jo C.,17,"respond attempt state thwart woman_'s_right choose
"
6996,Health,Would you support and vote into law the Disability Integration Law (SB2427)?,2016-10-05 15:01:00,CA,Carlos M.,17,"support vote law disability integration law sb2427
"
6997,Society & Community,Will voters find out about material non-disclosures after the election?,2016-10-05 14:40:00,CA,thomas m.,17,"voter material non disclosure election
"
6998,Society & Community,Do men have any responsibility for the children they bring into the world?  ,2016-10-05 14:10:00,CO,Nancy  D.,17,"man responsibility child bring world
"
6999,Civil Rights,Double Homicide or Abortion... Which law would you try to change and why? ,2016-10-05 13:32:00,VA,Robert T.,17,"double homicide abortion law try change
"
7000,Environment,How will you handle major catastrophic disaster? Enemy war? Tsunami? Meteor? ,2016-10-05 11:15:00,NY,jo j.,17,"handle major catastrophic disaster enemy war tsunami meteor
"
7001,Society & Community,Why should the American public vote for you? What makes you the best choice?,2016-10-05 06:57:00,IN,Gwen B.,17,"american public vote best choice
"
7002,Foreign Policy & Military,What will you do to stop China's illegal takeover of the South China Sea?,2016-10-04 23:00:00,CA,Tom H.,17,"stop china_'s illegal takeover south_china_sea
"
7003,Civil Rights,"As President, will you act immediately to reform all police training in the US? ",2016-10-04 22:29:00,OR,Janis Hunt J.,17,"as_president act immediately reform police_training
"
7004,Civil Rights,What is your opinion on privacy rights of American Citizens?,2016-10-04 22:00:00,WI,Emanuel K.,17,"your_opinion_on privacy right american citizens
"
7005,Foreign Policy & Military,How do you plan on helping Central America with its gang problem?,2016-10-04 21:49:00,IA,Jon  K.,17,"plan help central america gang problem
"
7006,Government & Elections,Why do you think voter ID laws have been passed only by Republican legislatures?,2016-10-04 20:45:00,CA,Ross K.,17,"think voter_id_law pass republican legislature
"
7007,Taxes & Budget,"What tax changes will you promote for the middle class and not the rich?
",2016-10-04 20:12:00,NC,Julie P.,17,"tax change promote middle_class rich
"
7008,Health,Would you support plans to ban carcinogens from our foods ? ,2016-10-04 20:11:00,MA,Deb G.,17,"support plan ban carcinogen food
"
7009,Health,do you have a plan to fight opiate death rates wiping out an entire generation ?,2016-10-04 19:36:00,FL,Sheri C.,17,"plan fight opiate death rate wipe entire generation
"
7010,Foreign Policy & Military,How can anyone be proud of not fulfilling their duty to pay their taxes?,2016-10-04 19:34:00,None,Mitchell M.,17,"proud fulfil duty pay_their tax
"
7011,Society & Community,What can the President do to improve opportunities in our minority communities?,2016-10-04 18:55:00,CA,Suzanne A.,17,"president improve opportunity minority community
"
7012,Society & Community,What's your greatest failure & what are you doing to ensure you don't repeat it?,2016-10-04 16:31:00,MA,Alicia S.,17,"what_' great failure ensure repeat
"
7013,Society & Community,Will you look at other nations like Australia in creating gun legislation? ,2016-10-04 15:27:00,MN,Dan H.,17,"look other_nation like australia create gun legislation
"
7014,Taxes & Budget,Name some loopholes that you understand in the tax system and how to fix them?,2016-10-04 00:26:00,NJ,Naveen G.,17,"loophole_that understand tax fix
"
7015,Government & Elections,Would you support decreasing the presidential election cycle to 9 months?,2016-10-04 13:21:00,None,Norma M.,17,"support decrease presidential election cycle 9 month
"
7016,Civil Rights,How will you restore and protect the 2nd AMDT rights stolen from Californians,2016-10-03 23:51:00,CA,Michael E.,17,"restore protect 2nd amdt right steal californians
"
7017,Health,Any new policies/guidelines for Vet Homes to care for aging/disabled vets?,2016-10-04 12:08:00,PA,Marguerite S.,17,"new policies/guideline vet homes care aging/disabl vet
"
7018,Society & Community,Do you support a fathers rights during and after pregnancy?,2016-10-04 11:47:00,SC,Chris E.,17,"support father right pregnancy
"
7019,Government & Elections,"When we talk about ""transparency"" in government, what does that mean to you?",2016-09-30 20:04:00,CA,Jim H.,17,"talk_about transparency government mean
"
7020,Infrastructure & Technology,Who exactly will you take advise on matters of cyber security and technology?,2016-10-04 10:07:00,MN,Alexandra B.,17,"exactly advise matter cyber_security technology
"
7021,Foreign Policy & Military,What is your opinion and policy on Saudi Arabia?,2016-10-04 09:11:00,NJ,Jacqueline S.,17,"your_opinion policy saudi_arabia
"
7022,Foreign Policy & Military,"Which war will we end first, the War on Terror or the War on Drugs?",2016-10-03 23:16:00,NJ,Peter T.,17,"war end war_on_terror war_on_drugs
"
7023,Government & Elections,Would you support replacing First Past the Post with Alternative Voting?,2016-10-03 16:08:00,WI,Natalie R.,17,"support replace past post alternative voting
"
7024,Government & Elections,Would you support shortening our national  election time frame?,2016-10-03 20:33:00,FL,Mary  C.,17,"support shorten national election time frame
"
7025,Foreign Policy & Military,Will you denounce Putin for the cowardly airstrike on hospitals in Aleppo today.,2016-10-03 19:49:00,CA,Robert T.,17,"denounce putin cowardly airstrike hospital aleppo today
"
7026,Taxes & Budget,What is your proposal to change tax laws so they are fair to all of us? ,2016-10-03 19:07:00,NY,Lisa C.,17,"proposal change tax law fair
"
7027,Foreign Policy & Military,Do you believe global initiatives or  US sovereignty best define your policies?,2016-10-03 18:41:00,VA,Suzanne M.,17,"believe global initiative sovereignty best define your_policy
"
7028,Society & Community,How can you relate to ordinary Americans?,2016-10-03 18:14:00,OH,Michelle S.,17,"relate ordinary americans
"
7029,Taxes & Budget,avoid ,2016-10-03 18:00:00,None,Donald K.,17,"avoid
"
7030,Taxes & Budget,"Progressive tax, unfair burden on the middle class, red tape & class warfare?",2016-10-03 17:49:00,NY,Mitchell W.,17,"progressive tax unfair burden middle_class red tape class warfare
"
7031,Civil Rights,Do all lives matter? What is your stance?,2016-10-03 15:50:00,CA,Julie L.,17,"life_matter your_stance
"
7032,Society & Community,How would you achieve reconciliation/cooperation in a currently divided country?,2016-10-03 15:50:00,VA,Helen G.,17,"achieve reconciliation/cooperation currently divide_country
"
7033,Civil Rights,Who will be your choice for Attorney General?,2016-10-03 15:22:00,CA,Theron M.,17,"choice attorney general
"
7034,Taxes & Budget,How many tax brackets should there be ?,2016-10-03 00:07:00,CA,Leo K.,17,"tax bracket
"
7035,Government & Elections,What if this were a job interview?,2016-10-02 19:41:00,NC,Anja W.,17,"job interview
"
7036,Foreign Policy & Military,The Kremlin pulls a Crimea-style invasion of a Baltic country: your response?,2016-10-03 12:41:00,VA,JL E.,17,"kremlin pull crimea style invasion baltic country your_response
"
7037,Foreign Policy & Military,"Is terror, after all, an instrument of war, not an enemy?",2016-10-03 12:28:00,WY,Bruce C. P.,17,"terror instrument war enemy
"
7038,Government & Elections,Why aren't government official's pay determined by We The People???,2016-10-03 12:06:00,TN,Larry R.,17,"government_official 's pay determine people
"
7039,Health,Do you believe that pornography poses a risk to public health?,2016-10-03 10:27:00,NY,N. M.,17,"believe_that pornography pose risk public_health
"
7040,Health,"Should the FDA regulate e cigarettes like tobacco, endangering public health?",2016-10-03 09:49:00,OK,John S.,17,"fda regulate e cigarette like tobacco endanger public_health
"
7041,Education,How will you support the teaching of evolution in schools?,2016-10-03 09:37:00,WA,Jedidiah C.,17,"support teaching evolution school
"
7042,Society & Community,How many illegal aliens do you believe are currently in our country?,2016-10-03 08:22:00,NY,Judyann J.,17,"illegal_alien believe currently our_country
"
7043,Society & Community,Deterioration of InterCities ,2016-10-02 12:28:00,TX,Darrell B.,17,"deterioration intercities
"
7044,Society & Community,Will you finally have federal law consider Abortion as murder?,2016-10-03 05:47:00,CA,Silvestar F.,17,"finally federal law consider abortion murder
"
7045,Government & Elections,How would you work with Congress to get legislation passed?,2016-10-03 04:33:00,CA,Christian W.,17,"work_with_congress legislation pass
"
7046,Society & Community,Would you support a cap on welfare benefits to set limit at maximum 2 children?,2016-10-03 01:08:00,CA,Gail C.,17,"support cap welfare benefit set limit maximum 2 child
"
7047,Government & Elections,How will you be a Peacemaker at home and abroad?,2016-10-03 00:36:00,MO,Louise C.,17,"peacemaker at_home abroad
"
7048,Foreign Policy & Military,What will your administrations policy be towards globalization?,2016-10-03 00:33:00,PA,CA C.,17,"your_administration policy globalization
"
7049,Society & Community,"How have you helped others, where you personally had nothing to benefit from?",2016-10-02 21:29:00,FL,Matias P.,17,"help personally benefit
"
7050,Taxes & Budget,How will you implement your policy if other party controls congress?,2016-10-02 21:05:00,CA,Michael O.,17,"implement your_policy other_party control congress
"
7051,Economy & Jobs,"If President, will your tax returns and investment portfolio be made public?",2016-10-02 18:51:00,CA,Teresa B.,17,"president tax_return investment portfolio public
"
7052,Health,What do you believe is the appropriate federal funding level for mental illness?,2016-10-02 17:39:00,VA,Lisa G.,17,"believe appropriate federal funding level mental_illness
"
7053,Education,How will you keep our children from being taught by mathematical illiterates?,2016-10-02 15:30:00,NJ,Aa B.,17,"child teach mathematical illiterate
"
7054,Infrastructure & Technology,Does cyber scty plan include prosecuting people who send classified via unclass?,2016-10-01 23:14:00,VA,Daniel P.,17,"cyber scty plan include prosecute people_who send classified unclass
"
7055,Taxes & Budget,What do your respective foundations/ charities do for domestically and abroad?,2016-10-01 20:35:00,OR,McCall H.,17,"respective foundations/ charity domestically abroad
"
7056,Society & Community,"What was your biggest failure as a professional, and what did you learn from it?",2016-10-01 19:46:00,CA,Karl C.,17,"big failure professional learn_from_it
"
7057,Society & Community,How should western civilization and the United States deal with jihadist Islam? ,2016-10-01 19:25:00,CA,Stefen M.,17,"western civilization united_states deal_with jihadist islam
"
7058,Society & Community,"Will you get rid of the ridiculous time change, and pick one or the other?",2016-10-01 18:37:00,TX,Jim K.,17,"get_rid_of ridiculous time change pick
"
7059,Health,"Is abortion to a right corollary to ""life, liberty, & the pursuit of happiness?""",2016-10-01 14:42:00,TX,James B.,17,"abortion right corollary life liberty pursuit happiness
"
7060,Taxes & Budget,Will you eliminate/change both estate tax and step-up in basis in the tax code?,2016-10-01 14:19:00,MA,Ted S.,17,"eliminate/change estate tax step basis tax_code
"
7061,Civil Rights,How do we stop teachers from unfairly disciplining and suspending black boys?,2016-10-01 14:18:00,NY,Vivian T.,17,"stop teacher unfairly discipline suspend black boy
"
7062,Health,What is your plan for dealing with the lead that continues to poison Americans?,2016-10-01 13:22:00,OR,Sarah H.,17,"your_plan deal_with lead continue poison americans
"
7063,Government & Elections,What is the most neutral case for the importance of voting you can offer?,2016-10-01 12:50:00,NY,Sally R.,17,"neutral case importance voting offer
"
